id_img,label
10052,neutral
10065,sad
10079,angry
10095,angry
10121,angry
10148,sad
10163,angry
10215,neutral
1024,neutral
10286,angry
10315,angry
10336,happy
10338,fear
10371,angry
10382,sad
10399,sad
10415,neutral
10426,angry
10551,sad
10554,angry
10583,neutral
10699,angry
10702,neutral
1071,angry
10743,angry
10746,angry
10818,neutral
10823,fear
10825,neutral
10839,surprise
10854,angry
10970,neutral
11002,neutral
11017,sad
11024,angry
11028,neutral
1106,surprise
11075,angry
11093,angry
11096,sad
11158,angry
11169,angry
11186,angry
11188,angry
11200,neutral
1124,angry
11266,sad
1127,angry
11337,sad
11342,sad
11400,sad
11421,fear
11467,angry
11561,angry
11610,angry
11613,neutral
11632,angry
11642,neutral
11675,angry
11694,disgust
1177,fear
11813,angry
11841,angry
11849,angry
11883,surprise
11949,angry
11964,sad
11986,angry
12136,neutral
12144,neutral
1215,sad
12171,sad
12183,angry
12230,sad
12237,fear
12307,surprise
1235,fear
12352,surprise
12489,sad
12680,sad
12695,sad
12733,angry
12808,angry
12810,sad
12841,fear
12842,neutral
12851,angry
12928,neutral
12945,sad
13029,neutral
13041,disgust
13057,surprise
13059,sad
13092,disgust
13118,angry
13167,sad
13220,sad
13267,surprise
13279,angry
13334,sad
13351,sad
13376,neutral
13395,neutral
1340,angry
13431,neutral
1350,neutral
13514,sad
13533,surprise
13535,angry
1358,sad
13582,fear
13599,sad
13607,angry
13671,sad
13672,angry
13738,sad
13758,neutral
1386,surprise
13890,neutral
13978,angry
14022,surprise
14030,fear
14058,sad
14108,angry
14118,happy
14120,sad
14148,happy
14185,sad
14206,angry
1422,fear
14243,neutral
14315,sad
14329,angry
14357,angry
14376,neutral
1438,neutral
14381,sad
14421,fear
14438,angry
14498,sad
14557,neutral
1460,sad
14706,angry
1477,neutral
14775,neutral
14821,angry
14831,sad
14870,angry
14945,neutral
15074,sad
1508,neutral
15138,angry
15172,angry
15190,angry
15194,angry
15217,neutral
15222,neutral
15295,sad
15474,fear
15500,sad
15502,neutral
1555,neutral
15562,angry
15637,angry
15644,surprise
15654,neutral
15699,neutral
157,disgust
15709,happy
15712,angry
15715,surprise
15725,angry
1575,angry
15771,angry
1582,neutral
15820,neutral
15821,neutral
15835,sad
1584,sad
15848,angry
15897,sad
