id_img,label
10052,neutral
10065,sad
10079,angry
10095,angry
10121,disgust
10148,angry
10163,sad
10215,sad
1024,neutral
10286,sad
10315,angry
10336,neutral
10338,fear
10371,angry
10382,neutral
10399,happy
10415,neutral
10426,sad
10551,sad
10554,angry
10583,neutral
10699,sad
10702,neutral
1071,fear
10743,angry
10746,neutral
10818,neutral
10823,neutral
10825,neutral
10839,angry
10854,happy
10970,neutral
11002,sad
11017,sad
11024,neutral
11028,neutral
1106,neutral
11075,angry
11093,happy
11096,sad
11158,neutral
11169,angry
11186,sad
11188,sad
11200,neutral
1124,angry
11266,sad
1127,happy
11337,sad
11342,angry
11400,sad
11421,fear
11467,neutral
11561,happy
11610,fear
11613,neutral
11632,sad
11642,neutral
11675,fear
11694,angry
1177,angry
11813,angry
11841,surprise
11849,angry
11883,fear
11949,angry
11964,sad
11986,sad
12136,neutral
12144,neutral
1215,neutral
12171,sad
12183,surprise
12230,angry
12237,fear
12307,fear
1235,fear
12352,neutral
12489,sad
12680,angry
12695,neutral
12733,angry
12808,angry
12810,sad
12841,angry
12842,sad
12851,angry
12928,sad
12945,angry
13029,angry
13041,angry
13057,surprise
13059,neutral
13092,neutral
13118,angry
13167,sad
13220,sad
13267,neutral
13279,sad
13334,neutral
13351,sad
13376,neutral
13395,sad
1340,angry
13431,neutral
1350,neutral
13514,sad
13533,fear
13535,angry
1358,sad
13582,sad
13599,sad
13607,angry
13671,neutral
13672,happy
13738,angry
13758,neutral
1386,fear
13890,neutral
13978,neutral
14022,surprise
14030,fear
14058,neutral
14108,fear
14118,happy
14120,sad
14148,neutral
14185,sad
14206,angry
1422,sad
14243,neutral
14315,neutral
14329,angry
14357,angry
14376,neutral
1438,sad
14381,sad
14421,angry
14438,sad
14498,sad
14557,neutral
1460,fear
14706,neutral
1477,fear
14775,neutral
14821,sad
14831,sad
14870,angry
14945,neutral
15074,neutral
1508,sad
15138,angry
15172,sad
15190,neutral
15194,disgust
15217,angry
15222,neutral
15295,neutral
15474,sad
15500,sad
15502,neutral
1555,neutral
15562,angry
15637,angry
15644,fear
15654,surprise
15699,surprise
157,neutral
15709,angry
15712,sad
15715,surprise
15725,fear
1575,happy
15771,sad
1582,neutral
15820,sad
15821,neutral
15835,sad
1584,sad
15848,angry
