id_img,path,label
0,../data/images/train/angry\0.jpg,angry
1,../data/images/train/angry\1.jpg,angry
10,../data/images/train/angry\10.jpg,angry
10002,../data/images/train/angry\10002.jpg,angry
10016,../data/images/train/angry\10016.jpg,angry
10037,../data/images/train/angry\10037.jpg,angry
10038,../data/images/train/angry\10038.jpg,angry
10057,../data/images/train/angry\10057.jpg,angry
10063,../data/images/train/angry\10063.jpg,angry
10069,../data/images/train/angry\10069.jpg,angry
10100,../data/images/train/angry\10100.jpg,angry
10105,../data/images/train/angry\10105.jpg,angry
10115,../data/images/train/angry\10115.jpg,angry
10122,../data/images/train/angry\10122.jpg,angry
10142,../data/images/train/angry\10142.jpg,angry
1015,../data/images/train/angry\1015.jpg,angry
10154,../data/images/train/angry\10154.jpg,angry
10155,../data/images/train/angry\10155.jpg,angry
10158,../data/images/train/angry\10158.jpg,angry
1016,../data/images/train/angry\1016.jpg,angry
10167,../data/images/train/angry\10167.jpg,angry
10178,../data/images/train/angry\10178.jpg,angry
1018,../data/images/train/angry\1018.jpg,angry
10181,../data/images/train/angry\10181.jpg,angry
10192,../data/images/train/angry\10192.jpg,angry
10196,../data/images/train/angry\10196.jpg,angry
10202,../data/images/train/angry\10202.jpg,angry
10207,../data/images/train/angry\10207.jpg,angry
10214,../data/images/train/angry\10214.jpg,angry
10223,../data/images/train/angry\10223.jpg,angry
10226,../data/images/train/angry\10226.jpg,angry
10240,../data/images/train/angry\10240.jpg,angry
10242,../data/images/train/angry\10242.jpg,angry
10250,../data/images/train/angry\10250.jpg,angry
10251,../data/images/train/angry\10251.jpg,angry
10253,../data/images/train/angry\10253.jpg,angry
10265,../data/images/train/angry\10265.jpg,angry
10287,../data/images/train/angry\10287.jpg,angry
10302,../data/images/train/angry\10302.jpg,angry
10310,../data/images/train/angry\10310.jpg,angry
10325,../data/images/train/angry\10325.jpg,angry
10348,../data/images/train/angry\10348.jpg,angry
10359,../data/images/train/angry\10359.jpg,angry
10363,../data/images/train/angry\10363.jpg,angry
10364,../data/images/train/angry\10364.jpg,angry
10373,../data/images/train/angry\10373.jpg,angry
10377,../data/images/train/angry\10377.jpg,angry
10378,../data/images/train/angry\10378.jpg,angry
10385,../data/images/train/angry\10385.jpg,angry
